pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_7'],1,0.0532878385857,1,['num_7'],0,[0.8668421471957117],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_1'],1,0.0496267073322,0,"['num_4', 'num_1']",0,"[0.3445266417693347, 1.1792945060878992]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_4'],1,0.0497846563812,1,['num_4'],0,[1.3797434910666198],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_0'],1,0.0573629189748,0,"['num_1', 'num_0']",0,"[0.8383809956721961, 1.2697134520858526]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_0'],1,0.057312047109,1,['num_0'],0,[0.7532752847764641],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_4'],1,0.0498728614766,1,['num_4'],0,[1.4948036880232394],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_1'],1,0.0501391182188,1,['num_1'],0,[1.495480201439932],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,['num_0'],1,0.0592665099539,1,['num_0'],0,[0.8515559807419777],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_7'],2,0.0533932745457,1,['num_7'],0,[1.2060198613908142],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_1'],2,0.0556628149934,1,['num_1'],0,[1.7048768859822303],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_4'],2,0.0478273213375,1,['num_4'],0,[1.3975982749834657],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_0'],2,0.0536459928844,1,['num_0'],0,[1.1247841024305671],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_0'],2,0.0548115323763,1,['num_0'],0,[0.8557098302990198],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_4'],2,0.052628145786,1,['num_4'],0,[1.2759620726574212],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_1'],2,0.0522679404821,1,['num_1'],0,[0.8921853473875672],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,1,1,1,['num_0'],2,0.0581920477562,1,['num_0'],0,[1.7353610135614872],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_7'],3,0.0544398396742,1,['num_7'],0,[1.0870265329722315],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_1'],3,0.053420761833,1,['num_1'],0,[2.074978112941608],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_4'],3,0.0542158393655,1,['num_4'],0,[2.5041632854845375],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_0'],3,0.0534519411158,1,['num_0'],0,[1.0408234181813896],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_0'],3,0.0556144046132,1,['num_0'],0,[0.8223596492316574],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_4'],3,0.0527536843438,1,['num_4'],0,[1.1432694508694112],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_1'],3,0.056525584776,1,['num_1'],0,[0.836824071360752],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,2,2,2,['num_0'],3,0.0561153281014,1,['num_0'],0,[0.6228099467698485],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_7'],4,0.0530014794786,1,['num_7'],0,[1.0062916975002736],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_1'],4,0.0522498888895,1,['num_1'],0,[1.1094089101534337],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_4'],4,0.0545735834166,1,['num_4'],0,[1.106818959582597],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_0'],4,0.0574363546912,0,"['num_1', 'num_0']",0,"[0.686493281275034, 2.3698997907340527]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_0'],4,0.0595130745787,1,['num_0'],0,[0.5198752982541919],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_4'],4,0.0600927672349,1,['num_4'],0,[1.3849635978695005],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_1'],4,0.050099323038,1,['num_1'],0,[0.9945677905343473],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,3,3,3,['num_0'],4,0.0540480443742,1,['num_0'],0,[0.42354947584681213],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_7'],5,0.0543003522325,1,['num_7'],0,[0.9050879220012575],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_1'],5,0.0573551240377,1,['num_1'],0,[1.5030211305711418],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_4'],5,0.0585337914526,0,"['num_7', 'num_4']",0,"[1.3027661971282214, 2.336393301608041]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_0'],5,0.0525210688356,0,"['num_4', 'num_0']",0,"[0.29151777760125697, 0.7752494565211236]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_0'],5,0.0542966600042,1,['num_0'],0,[0.6080452168826014],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_4'],5,0.0528057869524,1,['num_4'],0,[1.2594332385342568],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_1'],5,0.0449235241394,1,['num_1'],0,[11.598489106399938],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,4,4,4,['num_0'],5,0.0575278420001,1,['num_0'],0,[0.8379584311041981],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_7'],6,0.0527454791591,1,['num_7'],0,[4.506605954142287],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_1'],6,0.0534100951627,1,['num_1'],0,[2.091390023706481],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_4'],6,0.051171323983,0,"['num_7', 'num_4']",0,"[1.693610415328294, 7.643182476516813]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_0'],6,0.0595266129822,1,['num_0'],0,[0.9515819090884179],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_0'],6,0.0542129676323,1,['num_0'],0,[0.8397533043753356],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_4'],6,0.0514195293654,1,['num_4'],0,[1.4262157343328],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_1'],6,0.0584968684707,1,['num_1'],0,[0.9029472023248672],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,5,5,5,['num_0'],6,0.0607549215201,0,"['num_1', 'num_0']",0,"[0.5667221061885357, 0.8497028511483222]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_7'],7,0.047276756959,1,['num_7'],0,[0.9635704318061471],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_1'],7,0.0512857858557,1,['num_1'],0,[0.9453849808778614],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_4'],7,0.0524788124021,0,"['num_7', 'num_4']",0,"[0.7421803013421595, 1.9753505438566208]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_0'],7,0.0575360471848,0,"['num_4', 'num_0']",0,"[0.4535810900852084, 0.7038824236951768]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_0'],7,0.0596324591897,1,['num_0'],0,[0.6841585100628436],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_4'],7,0.0585239455104,1,['num_4'],0,[1.334194325376302],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_1'],7,0.027386689093,0,"['num_0', 'num_1']",0,"[1.1677556247450411, 1.8510009034071118]",2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,6,6,6,['num_0'],7,0.0507487596478,1,['num_0'],0,[0.5771750377025455],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_7'],8,0.0514466061722,1,['num_7'],0,[1.2752445335499942],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_1'],8,0.0521296837833,1,['num_1'],0,[1.192692260723561],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_4'],8,0.0574712264352,1,['num_4'],0,[1.3535239822231233],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_0'],8,0.0498133741785,1,['num_0'],0,[0.7283025463111699],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_0'],8,0.0522334787529,1,['num_0'],0,[0.8421771011780947],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_4'],8,0.0564090718981,1,['num_4'],0,[1.0713309303391725],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_1'],8,0.0506613750476,1,['num_1'],0,[0.7273208019323647],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,7,7,7,['num_0'],8,0.0513858883642,1,['num_0'],0,[0.7099948390386999],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_7'],9,0.0563926615287,1,['num_7'],0,[22.5664849774912],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_1'],9,0.059157792246,1,['num_1'],0,[1.2178024351596832],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_4'],9,0.0544743011706,1,['num_4'],0,[1.0075991856865585],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_0'],9,0.0503237335943,1,['num_0'],0,[1.1101293209940195],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_0'],9,0.0586531762965,1,['num_0'],0,[0.9370826149825007],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_4'],9,0.0513009652495,1,['num_4'],0,[2.7272670581005514],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_1'],9,0.0518691709731,1,['num_1'],0,[1.708638529991731],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,8,8,8,['num_0'],9,0.0585058943834,1,['num_0'],0,[1.6530032025184482],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_7'],10,0.0604209727608,1,['num_7'],0,[1.1150983509141952],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_1'],10,0.0567278414965,1,['num_1'],0,[1.6717548076994717],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_4'],10,0.0563848668244,1,['num_4'],0,[1.438715026481077],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_0'],10,0.0586338944267,1,['num_0'],0,[1.118833328364417],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_0'],10,0.0660029260907,1,['num_0'],0,[1.024648635648191],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_4'],10,0.0522597350646,1,['num_4'],0,[1.55965297203511],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_1'],10,0.0514006575104,1,['num_1'],0,[1.0078703653998673],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,9,9,9,['num_0'],10,0.0485489629209,1,['num_0'],0,[0.7130155593622476],2018_Mar_18_1243,60.0258080516,sequenceLearningTask,001,073,
